customer_id,customer_name,city,segment,signup_date
1,Customer 001,Bengaluru,Small Business,2026-03-14
2,Customer 002,Pune,Corporate,2024-06-02
3,Customer 003,Delhi,Corporate,2024-04-01
4,Customer 004,Ahmedabad,Small Business,2026-02-21
5,Customer 005,Mumbai,Corporate,2024-04-21
6,Customer 006,Chennai,Corporate,2025-04-18
7,Customer 007,Chennai,Consumer,2024-07-22
8,Customer 008,Bengaluru,Consumer,2025-12-10
9,Customer 009,Hyderabad,Consumer,2024-03-17
10,Customer 010,Kolkata,Consumer,2026-03-08
11,Customer 011,Mumbai,Consumer,2024-09-24
12,Customer 012,Pune,Corporate,2024-11-16
13,Customer 013,Kolkata,Consumer,2025-09-13
14,Customer 014,Ahmedabad,Small Business,2024-08-23
15,Customer 015,Delhi,Corporate,2025-12-13
16,Customer 016,Bengaluru,Consumer,2024-10-27
17,Customer 017,Bengaluru,Corporate,2026-01-08
18,Customer 018,Bengaluru,Consumer,2024-08-14
19,Customer 019,Pune,Small Business,2025-05-29
20,Customer 020,Pune,Corporate,2024-03-09
21,Customer 021,Mumbai,Corporate,2025-02-22
22,Customer 022,Kolkata,Consumer,2025-10-19
23,Customer 023,Bengaluru,Consumer,2025-07-12
24,Customer 024,Kolkata,Small Business,2024-05-21
25,Customer 025,Bengaluru,Consumer,2024-05-12
26,Customer 026,Ahmedabad,Corporate,2024-07-14
27,Customer 027,Delhi,Small Business,2025-03-17
28,Customer 028,Bengaluru,Consumer,2025-01-06
29,Customer 029,Ahmedabad,Small Business,2026-03-01
30,Customer 030,Hyderabad,Consumer,2025-02-05
31,Customer 031,Mumbai,Consumer,2024-12-20
32,Customer 032,Pune,Consumer,2024-11-07
33,Customer 033,Hyderabad,Consumer,2025-12-16
34,Customer 034,Ahmedabad,Corporate,2024-11-06
35,Customer 035,Mumbai,Corporate,2024-07-03
36,Customer 036,Hyderabad,Corporate,2026-01-24
37,Customer 037,Kolkata,Consumer,2024-12-08
38,Customer 038,Mumbai,Consumer,2024-10-26
39,Customer 039,Hyderabad,Consumer,2025-05-06
40,Customer 040,Pune,Consumer,2026-03-23
41,Customer 041,Delhi,Consumer,2024-04-29
42,Customer 042,Mumbai,Corporate,2025-11-22
43,Customer 043,Kolkata,Small Business,2025-01-01
44,Customer 044,Ahmedabad,Consumer,2025-10-18
45,Customer 045,Kolkata,Consumer,2024-09-15
46,Customer 046,Ahmedabad,Corporate,2025-02-13
47,Customer 047,Kolkata,Corporate,2025-06-06
48,Customer 048,Kolkata,Consumer,2025-08-09
49,Customer 049,Pune,Consumer,2025-06-20
50,Customer 050,Bengaluru,Corporate,2025-01-14
51,Customer 051,Ahmedabad,Small Business,2025-04-23
52,Customer 052,Bengaluru,Small Business,2025-02-17
53,Customer 053,Chennai,Corporate,2024-06-27
54,Customer 054,Bengaluru,Corporate,2024-07-12
55,Customer 055,Kolkata,Consumer,2024-08-16
56,Customer 056,Hyderabad,Small Business,2024-03-02
57,Customer 057,Chennai,Corporate,2025-06-09
58,Customer 058,Bengaluru,Consumer,2025-06-01
59,Customer 059,Pune,Small Business,2025-08-13
60,Customer 060,Bengaluru,Consumer,2024-02-12
61,Customer 061,Chennai,Small Business,2024-10-09
62,Customer 062,Chennai,Consumer,2024-06-27
63,Customer 063,Ahmedabad,Small Business,2026-01-07
64,Customer 064,Kolkata,Small Business,2025-11-05
65,Customer 065,Delhi,Consumer,2025-01-27
66,Customer 066,Pune,Consumer,2026-03-18
67,Customer 067,Delhi,Corporate,2025-10-05
68,Customer 068,Mumbai,Consumer,2026-01-03
