order_item_id,order_id,product_id,quantity,selling_price,unit_cost,discount_pct
1,1,15,2,772.03,653.32,0.1
2,1,7,2,2841.13,2318.63,0.05
3,1,21,3,3466.02,2679.2,0.1
4,2,21,3,3658.57,2679.2,0.05
5,2,10,3,8480.33,5504.87,0
6,3,11,2,10282.61,6707.36,0
7,3,10,1,7208.28,5504.87,0.15
8,4,18,1,3039.57,1911.48,0
9,4,1,3,16875.16,9720.81,0
10,4,12,2,7376.83,4295.88,0
11,5,24,1,798.77,559.48,0.15
12,5,28,2,2360.81,1570.6,0.05
13,6,9,3,697.98,447.76,0.1
14,6,26,3,4822.71,3619.9,0
15,6,12,2,7007.99,4295.88,0.05
16,7,20,1,4790.83,2691.55,0
17,7,14,1,1109.63,947.5,0.15
18,8,9,2,775.53,447.76,0
19,8,28,1,2112.3,1570.6,0.15
20,8,18,2,3039.57,1911.48,0
21,9,3,3,20224.08,16855.87,0.1
22,9,9,2,697.98,447.76,0.1
23,10,7,2,2841.13,2318.63,0.05
24,10,29,3,2673.62,1988.04,0.15
25,10,9,3,697.98,447.76,0.1
26,11,16,2,4117.24,2488.44,0.05
27,11,19,3,6849.57,4743.87,0
28,12,23,1,1268.75,811.63,0.05
29,12,2,2,3945.7,3285.39,0.1
30,12,24,2,892.74,559.48,0.05
31,13,6,1,8693.21,6696.16,0
32,13,1,3,16031.4,9720.81,0.05
33,14,1,2,16875.16,9720.81,0
34,15,5,1,18681.45,13430.02,0.05
35,16,19,2,6849.57,4743.87,0
36,16,13,2,591.15,456.02,0.1
37,16,13,3,558.31,456.02,0.15
38,16,17,3,4099.26,2655.66,0.1
39,17,21,3,3658.57,2679.2,0.05
40,17,3,1,20224.08,16855.87,0.1
41,17,20,3,4790.83,2691.55,0
42,17,10,3,8480.33,5504.87,0
43,18,20,2,4072.21,2691.55,0.15
44,18,15,1,814.92,653.32,0.05
45,19,25,2,2715.78,2058.16,0.1
46,19,3,3,19100.52,16855.87,0.15
47,19,14,2,1174.9,947.5,0.1
48,20,25,3,3017.53,2058.16,0
49,20,19,3,6849.57,4743.87,0
50,20,24,2,939.73,559.48,0
51,20,10,1,7208.28,5504.87,0.15
52,21,27,1,816.21,621.93,0.05
53,22,11,1,9768.48,6707.36,0.05
54,22,23,2,1335.53,811.63,0
55,22,19,1,6164.61,4743.87,0.1
56,22,17,3,4099.26,2655.66,0.1
57,23,4,2,6059.45,3360.05,0
58,24,21,3,3658.57,2679.2,0.05
59,24,5,1,18681.45,13430.02,0.05
60,24,23,2,1335.53,811.63,0
61,25,16,3,4117.24,2488.44,0.05
62,25,20,3,4790.83,2691.55,0
63,26,22,2,1524.59,1067.3,0.05
64,26,15,1,857.81,653.32,0
65,26,22,2,1604.83,1067.3,0
66,26,28,1,2485.06,1570.6,0
67,27,4,2,5453.51,3360.05,0.1
68,28,28,2,2485.06,1570.6,0
69,28,8,2,9275.43,7508.58,0.1
70,28,7,2,2990.66,2318.63,0
71,29,2,2,3726.49,3285.39,0.15
72,29,26,1,4581.57,3619.9,0.05
73,29,16,3,3900.55,2488.44,0.1
74,29,7,3,2990.66,2318.63,0
75,30,21,2,3273.46,2679.2,0.15
76,30,6,2,8693.21,6696.16,0
77,30,1,3,14343.89,9720.81,0.15
78,31,17,2,4099.26,2655.66,0.1
79,31,7,1,2990.66,2318.63,0
80,31,17,1,4554.73,2655.66,0
81,31,19,2,6849.57,4743.87,0
82,32,5,1,17698.21,13430.02,0.1
83,32,1,3,15187.64,9720.81,0.1
84,32,17,2,4554.73,2655.66,0
85,32,19,3,6507.09,4743.87,0.05
86,33,23,2,1335.53,811.63,0
87,33,27,3,816.21,621.93,0.05
88,33,2,1,3945.7,3285.39,0.1
89,33,1,3,16875.16,9720.81,0
90,34,18,2,3039.57,1911.48,0
91,34,9,2,775.53,447.76,0
92,35,19,1,5822.13,4743.87,0.15
93,35,10,3,7632.3,5504.87,0.1
94,36,24,2,939.73,559.48,0
95,36,4,3,5756.48,3360.05,0.05
96,36,21,2,3466.02,2679.2,0.1
97,36,13,2,591.15,456.02,0.1
98,37,19,2,6507.09,4743.87,0.05
99,37,14,2,1240.18,947.5,0.05
100,37,1,3,15187.64,9720.81,0.1
101,37,4,3,6059.45,3360.05,0
102,38,20,1,4551.29,2691.55,0.05
103,39,5,1,16714.98,13430.02,0.15
104,39,3,2,19100.52,16855.87,0.15
105,39,2,2,4384.11,3285.39,0
106,40,19,2,6849.57,4743.87,0
107,40,28,1,2112.3,1570.6,0.15
108,41,16,2,4333.94,2488.44,0
109,42,8,2,10306.03,7508.58,0
110,43,23,1,1335.53,811.63,0
111,44,23,1,1335.53,811.63,0
112,44,14,3,1109.63,947.5,0.15
113,45,27,2,859.17,621.93,0
114,46,28,1,2485.06,1570.6,0
115,46,3,3,22471.2,16855.87,0
116,47,25,3,2866.65,2058.16,0.05
117,47,15,1,814.92,653.32,0.05
118,47,13,1,623.99,456.02,0.05
119,48,9,3,659.2,447.76,0.15
120,49,21,3,3851.13,2679.2,0
121,49,20,1,4551.29,2691.55,0.05
122,49,21,1,3851.13,2679.2,0
123,50,30,1,3184.92,2114.6,0.15
124,50,12,1,6270.31,4295.88,0.15
125,51,7,2,2841.13,2318.63,0.05
126,51,10,3,8480.33,5504.87,0
127,52,12,2,6639.15,4295.88,0.1
128,52,21,3,3273.46,2679.2,0.15
129,52,13,1,656.83,456.02,0
130,52,30,3,3184.92,2114.6,0.15
131,53,8,1,8760.13,7508.58,0.15
132,53,4,2,5453.51,3360.05,0.1
133,53,28,3,2360.81,1570.6,0.05
134,53,20,3,4311.75,2691.55,0.1
135,54,23,3,1135.2,811.63,0.15
136,54,21,2,3466.02,2679.2,0.1
137,55,29,2,3145.44,1988.04,0
138,55,1,3,14343.89,9720.81,0.15
139,55,28,1,2360.81,1570.6,0.05
140,55,5,2,17698.21,13430.02,0.1
141,56,27,2,773.25,621.93,0.1
142,57,29,3,3145.44,1988.04,0
143,57,1,2,16875.16,9720.81,0
144,57,10,1,8480.33,5504.87,0
145,57,1,3,14343.89,9720.81,0.15
146,58,21,2,3851.13,2679.2,0
147,58,27,2,859.17,621.93,0
148,58,20,2,4072.21,2691.55,0.15
149,58,4,3,6059.45,3360.05,0
150,59,20,2,4790.83,2691.55,0
151,60,7,1,2841.13,2318.63,0.05
152,61,1,2,16031.4,9720.81,0.05
153,62,18,3,2583.63,1911.48,0.15
154,62,30,2,3184.92,2114.6,0.15
155,63,9,3,659.2,447.76,0.15
156,63,4,3,5756.48,3360.05,0.05
157,64,5,2,16714.98,13430.02,0.15
158,64,12,3,7376.83,4295.88,0
159,64,24,1,892.74,559.48,0.05
160,64,11,2,9768.48,6707.36,0.05
161,65,18,1,2735.61,1911.48,0.1
162,65,2,2,4384.11,3285.39,0
163,65,25,1,2866.65,2058.16,0.05
164,66,2,2,4164.9,3285.39,0.05
165,66,8,1,10306.03,7508.58,0
166,66,28,2,2236.55,1570.6,0.1
167,66,19,2,6164.61,4743.87,0.1
168,67,24,2,939.73,559.48,0
169,67,15,2,729.14,653.32,0.15
170,67,23,1,1268.75,811.63,0.05
171,67,22,2,1604.83,1067.3,0
172,68,21,1,3273.46,2679.2,0.15
173,68,8,2,10306.03,7508.58,0
174,68,17,1,3871.52,2655.66,0.15
175,68,1,3,16875.16,9720.81,0
176,69,8,3,10306.03,7508.58,0
177,70,16,3,4333.94,2488.44,0
178,70,30,2,3559.62,2114.6,0.05
179,70,20,1,4311.75,2691.55,0.1
180,70,30,1,3559.62,2114.6,0.05
181,71,6,1,7823.89,6696.16,0.1
182,72,30,3,3746.97,2114.6,0
183,73,10,2,8056.31,5504.87,0.05
184,73,25,2,2866.65,2058.16,0.05
185,73,2,1,4384.11,3285.39,0
186,73,14,2,1240.18,947.5,0.05
187,74,13,3,558.31,456.02,0.15
188,75,30,2,3746.97,2114.6,0
189,75,16,3,4333.94,2488.44,0
190,75,21,1,3851.13,2679.2,0
191,75,7,1,2990.66,2318.63,0
192,76,8,1,10306.03,7508.58,0
193,76,20,1,4790.83,2691.55,0
194,77,30,2,3746.97,2114.6,0
195,77,5,1,19664.68,13430.02,0
196,78,7,3,2990.66,2318.63,0
197,78,6,2,7823.89,6696.16,0.1
198,78,7,3,2542.06,2318.63,0.15
199,78,14,3,1305.45,947.5,0
200,79,15,3,772.03,653.32,0.1
201,79,28,1,2485.06,1570.6,0
202,80,24,1,845.76,559.48,0.1
203,80,30,1,3559.62,2114.6,0.05
204,80,6,1,8258.55,6696.16,0.05
205,80,7,3,2841.13,2318.63,0.05
206,81,16,2,4333.94,2488.44,0
207,81,29,2,3145.44,1988.04,0
208,81,23,1,1335.53,811.63,0
209,81,30,3,3372.27,2114.6,0.1
210,82,24,3,798.77,559.48,0.15
211,83,28,1,2485.06,1570.6,0
212,83,12,2,6639.15,4295.88,0.1
213,83,23,2,1335.53,811.63,0
214,84,1,1,16031.4,9720.81,0.05
215,85,29,1,2830.9,1988.04,0.1
216,85,16,2,3900.55,2488.44,0.1
217,85,21,3,3466.02,2679.2,0.1
218,86,20,1,4551.29,2691.55,0.05
219,86,12,3,6639.15,4295.88,0.1
220,87,5,3,18681.45,13430.02,0.05
221,87,11,1,9254.35,6707.36,0.1
222,87,15,3,729.14,653.32,0.15
223,88,27,2,773.25,621.93,0.1
224,88,3,2,21347.64,16855.87,0.05
225,88,22,3,1444.35,1067.3,0.1
226,89,30,1,3746.97,2114.6,0
227,89,3,1,22471.2,16855.87,0
228,89,16,1,3900.55,2488.44,0.1
229,89,19,2,6507.09,4743.87,0.05
230,90,21,3,3466.02,2679.2,0.1
231,90,9,1,775.53,447.76,0
232,90,6,3,7389.23,6696.16,0.15
233,90,13,2,656.83,456.02,0
234,91,10,3,7632.3,5504.87,0.1
235,91,17,3,4326.99,2655.66,0.05
236,91,26,3,4340.44,3619.9,0.1
237,92,11,2,9254.35,6707.36,0.1
238,92,1,1,14343.89,9720.81,0.15
