order_id,customer_id,order_date,order_status,payment_method
1,143,2026-04-20,Delivered,UPI
2,165,2025-07-03,Delivered,Net Banking
3,140,2025-06-13,Delivered,Card
4,163,2025-10-24,Delivered,COD
5,3,2025-03-16,Delivered,COD
6,104,2026-06-20,Delivered,UPI
7,250,2025-04-09,Delivered,Net Banking
8,119,2025-08-31,Delivered,Card
9,177,2025-04-30,Delivered,UPI
10,245,2025-02-07,Delivered,COD
11,172,2026-01-03,Delivered,UPI
12,246,2026-06-19,Delivered,UPI
13,125,2026-01-29,Delivered,Net Banking
14,46,2025-09-04,Delivered,COD
15,4,2025-05-13,Delivered,Card
16,245,2026-03-29,Delivered,UPI
17,205,2025-03-31,Delivered,Card
18,179,2025-03-18,Returned,Net Banking
19,9,2025-05-01,Delivered,Net Banking
20,150,2025-08-19,Delivered,Card
21,30,2026-04-05,Delivered,UPI
22,26,2026-02-11,Returned,UPI
23,147,2025-08-26,Delivered,Net Banking
24,131,2026-04-25,Delivered,Card
25,151,2025-09-01,Delivered,COD
26,100,2026-06-14,Delivered,UPI
27,49,2025-01-28,Delivered,Card
28,76,2026-05-03,Delivered,Net Banking
29,82,2025-07-04,Delivered,Card
30,228,2026-01-13,Delivered,Net Banking
31,157,2026-01-29,Delivered,Net Banking
32,114,2025-02-10,Returned,Net Banking
33,58,2025-09-28,Delivered,Card
34,83,2026-02-23,Delivered,Net Banking
35,181,2026-03-21,Delivered,COD
36,63,2025-12-06,Delivered,Net Banking
37,65,2025-12-14,Delivered,UPI
38,77,2025-03-14,Returned,UPI
39,97,2025-03-03,Delivered,COD
40,2,2025-06-13,Delivered,UPI
41,145,2025-05-31,Delivered,Net Banking
42,168,2025-12-06,Delivered,UPI
43,109,2026-03-22,Delivered,Net Banking
44,161,2025-10-29,Delivered,UPI
45,65,2025-08-06,Delivered,Card
46,123,2025-11-16,Delivered,Net Banking
47,152,2025-12-17,Delivered,Net Banking
48,81,2026-04-27,Delivered,UPI
49,140,2026-04-03,Delivered,UPI
50,173,2025-10-27,Delivered,UPI
51,209,2025-08-03,Delivered,UPI
52,163,2026-02-17,Delivered,UPI
53,208,2025-03-01,Delivered,COD
54,215,2026-02-11,Delivered,Net Banking
55,32,2026-05-04,Delivered,UPI
56,218,2025-02-15,Delivered,Net Banking
57,229,2026-02-22,Returned,Net Banking
58,13,2025-10-18,Delivered,UPI
59,226,2026-04-09,Delivered,Net Banking
60,128,2025-11-19,Delivered,Net Banking
61,242,2025-07-01,Delivered,Card
62,152,2026-05-16,Delivered,Net Banking
63,84,2025-10-13,Delivered,UPI
64,163,2026-06-07,Delivered,Net Banking
65,165,2025-12-21,Delivered,Card
66,146,2026-03-02,Delivered,Net Banking
67,108,2025-09-24,Delivered,Card
68,66,2026-03-27,Delivered,Net Banking
69,48,2025-02-16,Delivered,UPI
70,240,2025-05-09,Delivered,COD
71,10,2026-03-15,Delivered,Net Banking
72,98,2025-10-11,Delivered,Card
73,119,2026-04-19,Delivered,COD
74,74,2026-01-19,Delivered,COD
75,247,2026-06-21,Delivered,Net Banking
76,148,2026-04-27,Delivered,Net Banking
77,49,2025-06-24,Delivered,COD
78,198,2025-12-18,Delivered,Net Banking
79,12,2025-06-18,Delivered,COD
80,220,2026-01-04,Cancelled,Card
81,235,2025-03-07,Cancelled,COD
82,133,2026-03-16,Delivered,UPI
83,11,2025-02-22,Delivered,Net Banking
84,139,2025-05-05,Delivered,Card
85,232,2025-11-16,Returned,Net Banking
86,160,2025-09-28,Delivered,UPI
87,63,2026-02-24,Delivered,Net Banking
88,35,2025-02-01,Delivered,COD
89,134,2025-06-22,Delivered,Card
90,76,2025-01-15,Delivered,Card
91,12,2026-04-12,Delivered,Net Banking
92,50,2026-05-01,Delivered,Net Banking
93,163,2025-12-03,Delivered,COD
94,133,2025-01-22,Delivered,Card
95,20,2025-09-29,Delivered,Card
96,86,2026-01-14,Delivered,Net Banking
97,92,2026-04-13,Delivered,Net Banking
98,222,2026-01-16,Delivered,COD
99,92,2026-01-25,Cancelled,UPI
100,181,2025-06-01,Returned,Net Banking
101,208,2025-07-08,Delivered,Card
102,230,2025-02-27,Delivered,Card
103,56,2026-03-24,Delivered,Card
104,102,2026-01-19,Delivered,Card
105,39,2025-06-29,Delivered,Card
106,15,2025-02-27,Delivered,Net Banking
107,112,2025-04-18,Delivered,Card
108,39,2025-05-29,Delivered,Net Banking
109,99,2026-06-02,Delivered,Card
110,189,2026-03-10,Delivered,Net Banking
111,110,2025-09-21,Delivered,Net Banking
112,240,2025-07-16,Delivered,Card
113,222,2025-12-07,Delivered,COD
114,144,2026-04-20,Delivered,Card
115,12,2025-07-04,Delivered,UPI
116,150,2026-04-17,Delivered,COD
117,96,2026-01-01,Cancelled,Net Banking
118,51,2025-01-09,Delivered,UPI
119,165,2026-02-20,Delivered,Card
120,27,2025-11-21,Cancelled,Card
121,169,2025-06-29,Delivered,COD
122,89,2025-12-21,Returned,UPI
123,241,2026-03-28,Cancelled,Card
124,183,2025-01-01,Delivered,Card
125,133,2026-02-01,Delivered,Card
