product_id,product_name,category,list_price,unit_cost
1,Electronics Product 1,Electronics,16875.16,9720.81
2,Electronics Product 2,Electronics,4384.11,3285.39
3,Electronics Product 3,Electronics,22471.2,16855.87
4,Electronics Product 4,Electronics,6059.45,3360.05
5,Electronics Product 5,Electronics,19664.68,13430.02
6,Electronics Product 6,Electronics,8693.21,6696.16
7,Home Product 1,Home,2990.66,2318.63
8,Home Product 2,Home,10306.03,7508.58
9,Home Product 3,Home,775.53,447.76
10,Home Product 4,Home,8480.33,5504.87
11,Home Product 5,Home,10282.61,6707.36
12,Home Product 6,Home,7376.83,4295.88
13,Beauty Product 1,Beauty,656.83,456.02
14,Beauty Product 2,Beauty,1305.45,947.5
15,Beauty Product 3,Beauty,857.81,653.32
16,Beauty Product 4,Beauty,4333.94,2488.44
17,Beauty Product 5,Beauty,4554.73,2655.66
18,Beauty Product 6,Beauty,3039.57,1911.48
19,Sports Product 1,Sports,6849.57,4743.87
20,Sports Product 2,Sports,4790.83,2691.55
21,Sports Product 3,Sports,3851.13,2679.2
22,Sports Product 4,Sports,1604.83,1067.3
23,Sports Product 5,Sports,1335.53,811.63
24,Sports Product 6,Sports,939.73,559.48
25,Office Product 1,Office,3017.53,2058.16
26,Office Product 2,Office,4822.71,3619.9
27,Office Product 3,Office,859.17,621.93
28,Office Product 4,Office,2485.06,1570.6
29,Office Product 5,Office,3145.44,1988.04
30,Office Product 6,Office,3746.97,2114.6
